t1_initial,t2_initial,t3_initial,t4_initial,t5_initial,t6_initial,t7_initial,t8_initial,t9_initial,t10_initial,t11_initial,t12_initial,alpha,prior_cost_c,lambda,k,sample_amount,learning_parameter,generations,runs,t1_final,t2_final,t3_final,t4_final,t5_final,t6_final,t7_final,t8_final,t9_final,t10_final,t11_final,t12_final
0.0818459607401,0.0815184361698,0.0802262303783,0.0852693219399,0.0831668489676,0.0827025197883,0.0805148591862,0.0842152306329,0.0863956170579,0.0830515208689,0.0876958754942,0.0833975787759,1,0.0,30,5,10,1,20,1000,0.0297389624028,0.0297389624028,0.0297389624028,0.0697834779433,0.0440999742541,0.0442387891057,0.0297389624028,0.0297389624028,0.0297389624028,0.221148181656,0.221147901312,0.221147901312
0.082980451709,0.0835018931217,0.0813691161979,0.0807890312549,0.0838830853899,0.0839738895459,0.0820934753727,0.0862466447913,0.0883591265733,0.0836578870205,0.0807268196601,0.0824185793629,1,0.0,30,5,10,2,20,1000,0.00229866709901,0.00229866709901,0.00229866709901,0.0178480769475,0.00668060653891,0.00662166290575,0.00229866709901,0.00229866709901,0.00229866709901,0.31835319957,0.318352225722,0.318352225722
0.081285846596,0.0846375143807,0.0793000716104,0.0860264621416,0.0856222990371,0.0886566789624,0.0826090943,0.0849265487254,0.082621916111,0.0792607503534,0.0799581869822,0.0850946307998,1,0.0,30,5,10,3,20,1000,0.000264894799286,0.000264894799286,0.000264894799286,0.00393894192811,0.00115994128905,0.00116197015231,0.000264894799286,0.000264894799286,0.000264894799286,0.330717604282,0.330716086777,0.330716086777
0.0822885096505,0.0825059842753,0.0803927514043,0.0846520395719,0.0863859761593,0.0845137383071,0.0818333674049,0.0852220026665,0.0829851395802,0.080843267467,0.0842565545179,0.0841206689951,1,0.0,30,5,10,4,20,1000,4.47281667264e-05,4.47281667264e-05,4.47281667264e-05,0.00086999879579,0.000254220727296,0.000254616355439,4.47281667264e-05,4.47281667264e-05,4.47281667264e-05,0.332785622368,0.332783586377,0.332783586377
0.0856672594561,0.0820032696159,0.0851648878296,0.0811099684056,0.0825552459867,0.0835663027634,0.0812922796476,0.0847563193254,0.0815003585606,0.0857976588423,0.0844817749086,0.0821046746582,1,0.0,30,5,10,5,20,1000,1.65723537534e-05,1.65723537534e-05,1.65723537534e-05,0.000223397769028,9.66680136213e-05,8.3854428016e-05,1.65723537534e-05,1.65723537534e-05,1.65723537534e-05,0.333167247159,0.333164699254,0.333164699254
0.0836089386916,0.0859403298392,0.0794592133413,0.0864107814516,0.0834544763627,0.0853459555239,0.0781887615772,0.0810677905354,0.08161799079,0.0897410816863,0.0838818177815,0.0812828624192,1,0.0,30,5,10,6,20,1000,7.86957901499e-06,7.86957901499e-06,7.86957901499e-06,9.32718365014e-05,5.32055955062e-05,5.65417963163e-05,7.86957901499e-06,7.86957901499e-06,7.86957901499e-06,0.33325195994,0.333248901679,0.333248901679
0.0824377106954,0.0824651808677,0.0817271405214,0.0843119276291,0.0866129804772,0.0832814412172,0.0796090239068,0.0861963414053,0.0874759743355,0.0806498433592,0.0800846467887,0.0851477887966,1,0.0,30,5,10,7,20,1000,7.99587753264e-06,7.99587753264e-06,7.99587753264e-06,7.24719784115e-05,5.97772492987e-05,5.46205791545e-05,7.99587753264e-06,7.99587753264e-06,7.99587753264e-06,0.333257430327,0.3332538623,0.3332538623
0.0830352731487,0.0819255620519,0.0809700077893,0.0818186954636,0.0897034221394,0.0845762954116,0.0807798935294,0.0830018571974,0.0871385426675,0.0777198697591,0.0817671003957,0.0875634804466,1,0.0,30,5,10,8,20,1000,6.3327316739e-06,6.3327316739e-06,6.3327316739e-06,5.29361552859e-05,4.04784777182e-05,5.15767006751e-05,6.3327316739e-06,6.3327316739e-06,6.3327316739e-06,0.333275056064,0.333270978106,0.333270978106
0.0876661937062,0.0804645219928,0.0829133183004,0.0834364989865,0.0851229689431,0.0841316742829,0.082749341491,0.0828497964507,0.0775087643801,0.0866455715264,0.0809589494322,0.0855524005078,1,0.0,30,5,10,9,20,1000,7.8994565521e-06,7.8994565521e-06,7.8994565521e-06,8.04552165189e-05,5.98926119849e-05,6.34475554709e-05,7.8994565521e-06,7.8994565521e-06,7.8994565521e-06,0.333252660886,0.333248073495,0.333248073495
0.0837024771195,0.0774540029967,0.0827019858033,0.0802668357461,0.0850826789021,0.0836871370757,0.0850083780856,0.0814340370146,0.0838753582147,0.0885500360064,0.0877540094915,0.080483063544,1,0.0,30,5,10,10,20,1000,4.2603827527e-06,4.2603827527e-06,4.2603827527e-06,4.82242899232e-05,4.27876584086e-05,3.98372565366e-05,4.2603827527e-06,4.2603827527e-06,4.2603827527e-06,0.333284594556,0.333279496971,0.333279496971
