t1_initial,t2_initial,t3_initial,t4_initial,t5_initial,t6_initial,t7_initial,t8_initial,t9_initial,t10_initial,t11_initial,t12_initial,alpha,prior_cost_c,lambda,k,sample_amount,learning_parameter,generations,runs,t1_final,t2_final,t3_final,t4_final,t5_final,t6_final,t7_final,t8_final,t9_final,t10_final,t11_final,t12_final
0.0870423221396,0.0952135200914,0.0787924562474,0.0874772172412,0.0885736497218,0.078974438443,0.0783763817845,0.0797588484428,0.0736408055183,0.0792090196869,0.0806720698426,0.0922692708405,1,0.0,30,5,10,1,20,1000,0.0659546669709,0.0659546669709,0.0659546669709,0.0815531604194,0.073193730113,0.0727169551146,0.0659546669709,0.0659546669709,0.0659546669709,0.125602766198,0.125602693164,0.125602693164
0.0842024980191,0.081606117189,0.0830728817365,0.080684572442,0.0789438742627,0.0853191020991,0.0833025895114,0.0902894075844,0.0848644113082,0.0818088345376,0.0825882634452,0.0833174478648,1,0.01,30,5,10,1,20,1000,0.0667284841347,0.0660611992934,0.0667284841347,0.0817060925772,0.0733550443181,0.0732326439293,0.0667284841347,0.0660611992934,0.0667284841347,0.12401560925,0.124638734236,0.124015540564
0.0842250522754,0.0821854604393,0.0784127149831,0.0787780318084,0.083802710033,0.0817641337383,0.0822198718807,0.0874733793034,0.086155035171,0.083189608543,0.0851178068737,0.0866761949507,1,0.02,30,5,10,1,20,1000,0.0663463144528,0.0650193881638,0.0663463144528,0.0812657466128,0.0732668470153,0.072537575111,0.0663463144528,0.0650193881638,0.0663463144528,0.125413048275,0.12667977329,0.125412975557
0.0861495441333,0.0828664076947,0.0801387847735,0.083027203553,0.0870855602109,0.0819650161312,0.0807154765397,0.0838487044128,0.0815490689958,0.0821372970213,0.0854535687778,0.0850633677562,1,0.03,30,5,10,1,20,1000,0.0667715870827,0.0647684394702,0.0667715870827,0.0812662614284,0.0738450457299,0.0725147853245,0.0667715870827,0.0647684394702,0.0667715870827,0.124617697157,0.12651535672,0.124617626369
0.0828322965715,0.0862184426378,0.0815374679787,0.0803113557311,0.0831739667907,0.0855337733511,0.0847542439098,0.0818265708571,0.0832121319851,0.0836619908781,0.0829028009324,0.0840349583765,1,0.04,30,5,10,1,20,1000,0.06665368719,0.0639875397024,0.06665368719,0.0809826701821,0.0735425545773,0.0721016285259,0.06665368719,0.0639875397024,0.06665368719,0.125408038792,0.127967313009,0.125407966749
0.084610129459,0.0818856193808,0.0814327675502,0.0794700830951,0.082809942679,0.0868961328206,0.0877376315562,0.0833827009227,0.0848983359682,0.0792086685256,0.0865953653365,0.081072622706,1,0.05,30,5,10,1,20,1000,0.0667583260849,0.0634204097806,0.0667583260849,0.0807774453822,0.0736266543463,0.0720768761315,0.0667583260849,0.0634204097806,0.0667583260849,0.125475906146,0.128693161566,0.125475832527
0.0857123679176,0.0803989566455,0.0852656171852,0.0807897465516,0.0868434651908,0.085287224224,0.0835639902864,0.0836758157525,0.0869468867405,0.0783342301804,0.0815734240528,0.0816082752727,1,0.06,30,5,10,1,20,1000,0.0672413517271,0.0632068706234,0.0672413517271,0.0806398436969,0.0741954656597,0.07178440563,0.0672413517271,0.0632068706234,0.0672413517271,0.124714709316,0.128571790631,0.124714636912
0.0827991073446,0.0810244636306,0.0812238439214,0.0853868619697,0.0843892145025,0.0838313596074,0.0872845866304,0.0823869936213,0.082987313437,0.0840272415688,0.0840681944351,0.0805908193312,1,0.07,30,5,10,1,20,1000,0.0677628863782,0.0630194843318,0.0677628863782,0.0806212743104,0.0748446636176,0.0719942121393,0.0677628863782,0.0630194843318,0.0677628863782,0.123654862739,0.128139680925,0.123654792093
0.0817170015251,0.0811616902894,0.0838872415515,0.0785209515948,0.0820838153578,0.0857271305169,0.0837893238381,0.0855465210024,0.083232411037,0.0828729038181,0.0836305811685,0.0878304283003,1,0.08,30,5,10,1,20,1000,0.0681788144767,0.0627245093186,0.0681788144767,0.0809171409488,0.0753696515069,0.0723087270881,0.0681788144767,0.0627245093186,0.0681788144767,0.122709152936,0.127821964784,0.122709086192
0.082223404538,0.0850211172631,0.0808036181887,0.0842968812581,0.0824701518549,0.0848998559435,0.0821071649754,0.0836708447331,0.0821186407181,0.0810264783542,0.0860528376523,0.0853090045205,1,0.09,30,5,10,1,20,1000,0.0678575121244,0.0617503360332,0.0678575121244,0.0802928733122,0.074778038892,0.0717076460593,0.0678575121244,0.0617503360332,0.0678575121244,0.124147003076,0.12999678675,0.124146931346
0.0801148059677,0.0832237650297,0.0836161469533,0.0820829301958,0.0838810611464,0.087143288227,0.0844288226107,0.0813374574035,0.0843368095517,0.0839257276642,0.0775025173134,0.0884066679367,1,0.1,30,5,10,1,20,1000,0.0684894416672,0.0616404975005,0.0684894416672,0.0803928127237,0.0755366163498,0.0718109635777,0.0684894416672,0.0616404975005,0.0684894416672,0.122851702355,0.129317509397,0.122851633927
0.0875507085889,0.0865400406224,0.0830395641895,0.084273019188,0.0856628414142,0.0794532422852,0.0839543177388,0.0836619821559,0.0835146508285,0.0816191475231,0.082669744877,0.0780607405885,1,0.11,30,5,10,1,20,1000,0.0685653020217,0.0610231187993,0.0685653020217,0.0799347257918,0.0754695960295,0.0715476105645,0.0685653020217,0.0610231187993,0.0685653020217,0.123190320389,0.130360052205,0.123190249334
0.0856105057875,0.0823670977056,0.0883154976685,0.0830449512024,0.0823185411027,0.0784387982833,0.0820579957113,0.0853907571491,0.0830267719035,0.0858592024839,0.0795087021362,0.084061178866,1,0.12,30,5,10,1,20,1000,0.0691346713852,0.060838510819,0.0691346713852,0.0800010377164,0.0760931137297,0.0717310700398,0.0691346713852,0.060838510819,0.0691346713852,0.122056131696,0.129846876103,0.122056063537
0.0815771266538,0.0861109714806,0.0839489201769,0.0825770554642,0.0856963328401,0.0840465595732,0.0803149482716,0.0827607285156,0.0865661770895,0.0845645940071,0.0798658221107,0.0819707638167,1,0.13,30,5,10,1,20,1000,0.0691229264767,0.0601369460348,0.0691229264767,0.0800526233532,0.0763151324929,0.0715380109857,0.0691229264767,0.0601369460348,0.0691229264767,0.122276099873,0.130776504041,0.122276031278
0.0848440162532,0.085786698685,0.0816732632088,0.0861611899383,0.0811182948162,0.0854678296051,0.084206904016,0.0820823297407,0.0832562850914,0.0837661853143,0.0827842997754,0.0788527035556,1,0.14,30,5,10,1,20,1000,0.0686857018005,0.0590697035484,0.0686857018005,0.0796780996589,0.0761326512031,0.0706344107691,0.0686857018005,0.0590697035484,0.0686857018005,0.123785202563,0.133102290936,0.123785130571
0.0821714667337,0.0839221497646,0.0805877392769,0.0818018402729,0.0820945988755,0.0811999908181,0.0890146114707,0.0873241038327,0.0813218327617,0.0831220224047,0.0843539461399,0.0830856976488,1,0.15,30,5,10,1,20,1000,0.0697165555597,0.0592590722257,0.0697165555597,0.0794403097054,0.0767930206224,0.0708914875362,0.0697165555597,0.0592590722257,0.0697165555597,0.121869872725,0.131751139076,0.121869803645
0.0832833190744,0.0847650783954,0.0813008879718,0.082621735759,0.0821644620293,0.0797997294398,0.0816470468183,0.082264263141,0.0854802434936,0.0871722474669,0.0826444642606,0.0868565221499,1,0.16,30,5,10,1,20,1000,0.0701064585801,0.0588894252073,0.0701064585801,0.0792471825642,0.0771877263108,0.0709354669678,0.0701064585801,0.0588894252073,0.0701064585801,0.121292632203,0.131839743344,0.121292563876
0.0857746565424,0.0810591670329,0.0905515156382,0.0790971430318,0.0824828278911,0.080831989119,0.0823080940252,0.0880162188806,0.0858556783603,0.0811978360925,0.078893756681,0.083931116705,1,0.17,30,5,10,1,20,1000,0.0698592727588,0.0579831963898,0.0698592727588,0.0791565533748,0.0775226526459,0.0703461040799,0.0698592727588,0.0579831963898,0.0698592727588,0.122076957101,0.133417362393,0.12207688659
0.0878089288683,0.0809980402435,0.0811604329964,0.0805024877847,0.0823476158402,0.0833740620948,0.084020451553,0.083675529549,0.0861830819614,0.0839490643473,0.0829167588407,0.0830635459208,1,0.18,30,5,10,1,20,1000,0.069872657684,0.0572955793009,0.069872657684,0.0789176592207,0.0772309014137,0.0704068417505,0.069872657684,0.0572955793009,0.069872657684,0.122418543239,0.134525793214,0.122418471825
0.0844366132534,0.0859450903881,0.0807306473488,0.0843014061676,0.0881330735846,0.0784869468175,0.0834768429546,0.081587904989,0.0802303518137,0.0834244902103,0.0839627051866,0.0852839272858,1,0.19,30,5,10,1,20,1000,0.0702160715711,0.0568750179726,0.0702160715711,0.0787212204264,0.0778455286797,0.0698020838673,0.0702160715711,0.0568750179726,0.0702160715711,0.122067751293,0.134881413913,0.122067679591
0.0844276792191,0.085135504978,0.0762537007092,0.0834412300653,0.0843524061477,0.0841594771979,0.0850426798475,0.0796177604681,0.0838243960242,0.0825986202345,0.083104715034,0.0880418300744,1,0.2,30,5,10,1,20,1000,0.0709088468375,0.05672707747,0.0709088468375,0.0788410008944,0.0782872578705,0.0702489147306,0.0709088468375,0.05672707747,0.0709088468375,0.120707173149,0.134119005824,0.120707105242
0.0790755311322,0.083052804587,0.0851275654753,0.0827147226825,0.0842927671927,0.0840838723969,0.0802187355029,0.0836716020351,0.082701715612,0.0847829980329,0.0845630702302,0.0857146151205,1,0.21,30,5,10,1,20,1000,0.0710897739211,0.0561609213977,0.0710897739211,0.0785707043129,0.0788844888765,0.0698902556073,0.0710897739211,0.0561609213977,0.0710897739211,0.120608069497,0.1347575426,0.120608000627
