t1_initial,t2_initial,t3_initial,t4_initial,t5_initial,t6_initial,t7_initial,t8_initial,t9_initial,t10_initial,t11_initial,t12_initial,alpha,prior_cost_c,lambda,k,sample_amount,learning_parameter,generations,runs,t1_final,t2_final,t3_final,t4_final,t5_final,t6_final,t7_final,t8_final,t9_final,t10_final,t11_final,t12_final
0.0825715532983,0.0834648495501,0.0838113687322,0.0830834550142,0.0835301449992,0.0837150734153,0.083215638944,0.0835897918455,0.082720972845,0.0837437343247,0.0835209167269,0.0830325003047,1,0.0,30,5,10,1,20,10000,0.0696495149107,0.0696495149107,0.0696495149107,0.103163457843,0.0846233853122,0.0848257867179,0.0696495149107,0.0696495149107,0.0696495149107,0.103163457843,0.10316341141,0.10316341141
0.0823204935851,0.0833053968014,0.0836321012422,0.0824521162664,0.0838568118352,0.0840065907467,0.0825597729682,0.0827335175509,0.0840592198595,0.0825540916596,0.0842241643331,0.0842957231516,1,0.0,30,5,10,3,20,10000,0.00331753902626,0.00331753902626,0.00331753902626,0.215242278436,0.0600090018975,0.0591186254893,0.00331753902626,0.00331753902626,0.00331753902626,0.215242278436,0.215241290792,0.215241290792
0.083779762519,0.0822219478473,0.0828917372425,0.0835298109602,0.0823742792904,0.0834059874338,0.0830376999502,0.0838326647334,0.0838403341911,0.0841978617812,0.0843766033959,0.082511310655,1,0.0,30,5,10,5,20,10000,0.000789187553731,0.000789187553731,0.000789187553731,0.223027373413,0.0517289487993,0.0514298434418,0.000789187553731,0.000789187553731,0.000789187553731,0.223027373413,0.223025667805,0.223025667805
0.0845256325555,0.0846932958453,0.0819937617078,0.0834546150348,0.0831479968849,0.0831905039527,0.0836488426753,0.0827288650338,0.0829302834557,0.0828751362911,0.0831074960746,0.0837035704884,1,0.0,30,5,10,7,20,10000,0.000365772463929,0.000365772463929,0.000365772463929,0.224128708206,0.0509335787968,0.0503617528706,0.000365772463929,0.000365772463929,0.000365772463929,0.224128708206,0.224126308568,0.224126308568
0.0836773294903,0.0821751158533,0.0840343455441,0.0842012639626,0.0843251577993,0.083337924886,0.0835606055824,0.0842589734317,0.0828786629548,0.0831583476547,0.0813212645731,0.0830710082678,1,0.0,30,5,10,10,20,10000,0.00024572173902,0.00024572173902,0.00024572173902,0.225344516239,0.0479922846241,0.0491622132711,0.00024572173902,0.00024572173902,0.00024572173902,0.225344516239,0.225341069596,0.225341069596
0.0827064656211,0.0834114496964,0.083315806513,0.084445623185,0.0841668131075,0.082507745557,0.0818647914531,0.0819906879459,0.0830434968577,0.0840580133754,0.084736884437,0.0837522222509,1,0.01,30,5,10,1,20,10000,0.069906081493,0.0692070206781,0.069906081493,0.10303424123,0.0849675232979,0.0843394777699,0.069906081493,0.0692070206781,0.069906081493,0.10303424123,0.103551954459,0.103034194686
0.083689137302,0.0823254118684,0.0832419583938,0.082698167957,0.0840436592291,0.0831375483062,0.084918983814,0.0852244182217,0.0809579138274,0.083649579195,0.0827535720481,0.0833596498373,1,0.01,30,5,10,3,20,10000,0.00333381566632,0.00323479800722,0.00333381566632,0.21455179569,0.0599768977467,0.0587623147614,0.00333381566632,0.00323479800722,0.00333381566632,0.21455179569,0.217801526218,0.214550811214
0.0841526906769,0.0824172362796,0.0838608841819,0.0838900651309,0.0826714896342,0.0835017062558,0.0829137254914,0.0841791259339,0.0831234782383,0.0827704408811,0.0826580443155,0.0838611129806,1,0.01,30,5,10,5,20,10000,0.000783356069267,0.000744963827402,0.000783356069267,0.221985643488,0.0512383097716,0.0505653360224,0.000783356069267,0.000744963827402,0.000783356069267,0.221985643488,0.227617769452,0.221983945847
0.0838361695469,0.0842238726402,0.0839717455796,0.0832802060011,0.0828091736395,0.082532425234,0.0833845049908,0.0814755074241,0.0844064158994,0.0827999045942,0.0832727838702,0.0840072905801,1,0.01,30,5,10,7,20,10000,0.000370961794518,0.000345760634067,0.000370961794518,0.222904109113,0.0499962357026,0.0482567709086,0.000370961794518,0.000345760634067,0.000370961794518,0.222904109113,0.230861684131,0.222901722586
0.0826925812519,0.0829619450595,0.0831704505763,0.0836073946237,0.0828675873325,0.0836114269249,0.0832976214922,0.0838561277297,0.0831963485813,0.0837428957111,0.0845386474169,0.0824569733,1,0.01,30,5,10,10,20,10000,0.000257975048121,0.00023330800932,0.000257975048121,0.221705230577,0.0507773343048,0.0495138798498,0.000257975048121,0.00023330800932,0.000257975048121,0.221705230577,0.233097968884,0.221701839597
0.0839699624148,0.0832800848053,0.0834340150016,0.0834944226148,0.0839759701681,0.0832117182021,0.0842722749402,0.082465195282,0.0830874173264,0.0831882401671,0.0825349239173,0.0830857751604,1,0.02,30,5,10,1,20,10000,0.0703095958048,0.0689034038887,0.0703095958048,0.102484406783,0.0855740444011,0.0844080323256,0.0703095958048,0.0689034038887,0.0703095958048,0.102484406783,0.103519557141,0.10248436157
0.0835836707728,0.0825559892359,0.0834442600206,0.0835453526298,0.0836436488652,0.0832840985285,0.0828279950954,0.0829826533202,0.0830405463595,0.0834193624747,0.0838222539309,0.0838501687664,1,0.02,30,5,10,3,20,10000,0.00341715503836,0.00321619898487,0.00341715503836,0.213377942432,0.0603905713269,0.0594670976915,0.00341715503836,0.00321619898487,0.00341715503836,0.213377942432,0.219908464651,0.213376963343
