kind,lam,alpha,k,samples,l,gens,runs,t_mean0,t_mean1,t_mean2,t_mean3,t_mean4,t_mean5,t_mean6,t_mean7,t_mean8,t_mean9,t_mean10,t_mean11,t_mean12,t_mean13,t_mean14,t_mean15,t_mean16,t_mean17,t_mean18,t_mean19,t_mean20,t_mean21,t_mean22,t_mean23,t_mean24,t_mean25,t_mean26,t_mean27,t_mean28,t_mean29,t_mean30,t_mean31,t_mean32,t_mean33,t_mean34,t_mean35,t_mean36,t_mean37,t_mean38,t_mean39
m,10,1,5,200,1,50,1000,0.0143498096361,0.0475718156091,0.0044864794996,0.0324007746098,0.0783987566356,0.00976100597155,0.0507976107342,0.00471724672387,0.0639340170974,0.00566205335201,0.0264663163125,0.00246759269464,0.0203703466807,0.00277221075852,0.0104379644879,0.00201351658199,0.00525320393218,0.0427327272928,0.0039429428185,0.00524035236744,0.0244604521796,0.0475718156091,0.00663268205447,0.039886677923,0.108704211163,0.0151552260047,0.0734645200093,0.00834075607616,0.0765331457887,0.00891516122478,0.0333843847155,0.00306663637579,0.0279256460994,0.00318884659139,0.015109323858,0.00271236347456,0.00662586239341,0.0521781191065,0.00390362340778,0.00846380214912
m,10,1,5,200,5,50,1000,4.57593392396e-05,0.00799270693362,1.14813492979e-06,0.000721110428934,0.0924082155159,5.11033185036e-06,0.00532816163789,3.71249853924e-07,0.0535777195188,3.0512614526e-05,0.00676309150571,2.53993795155e-07,0.00228946710511,2.03047461871e-05,6.68433950534e-06,8.92282548214e-07,1.6248473706e-05,0.00235732437099,7.50626548568e-07,0.000551450458409,0.00184863058447,0.00799270693362,4.03093489321e-07,0.00314719301866,0.469212728295,2.3593681573e-05,0.03987613084,3.17479806401e-05,0.222746484482,2.53330894719e-06,0.0432703100137,4.22630882012e-06,0.0170287778361,8.84929277274e-05,0.0018051184406,2.12413622952e-06,7.42188585737e-05,0.0162469217652,6.95928072357e-07,0.00447967795862
m,10,1,5,200,10,50,1000,1.4070918752e-05,0.000156514067347,9.70073717353e-08,7.62963513036e-06,0.086051656941,3.32958445813e-07,0.00288594948796,2.88454753575e-08,0.0420069886313,2.0558239572e-05,0.00302553924121,4.00607115518e-08,0.000698224248678,1.10485805215e-05,2.48948084356e-06,1.01609480768e-06,3.82041892149e-06,0.000772470262107,1.30576410623e-07,0.0005162269249,3.71320719532e-05,0.000156514067347,4.10033456858e-13,2.48812142923e-05,0.527567415205,1.36355763138e-09,0.0235743490949,1.11805981465e-05,0.272664414342,9.35978434451e-11,0.0209813610258,3.45518886276e-06,0.00325220173843,4.48570022989e-05,0.00109426011327,1.83958021961e-06,9.21093599193e-06,0.0109737750059,1.10490329543e-07,0.00342820824563
m,10,1,5,200,15,50,1000,7.38048755108e-06,3.0902503373e-06,7.68457954897e-08,5.56692287223e-08,0.146293144705,5.35370905801e-07,0.00128385404896,1.37999499399e-08,0.0332873051172,1.04060524582e-05,0.00534909538983,9.69605905539e-07,0.000529545953277,7.71701889933e-07,3.09851739468e-06,9.61052984195e-07,6.76601467042e-07,0.000369432082808,4.07942751294e-08,0.00041712852622,2.82569033464e-06,3.0902503373e-06,4.18890216823e-19,1.94924399535e-07,0.603570568593,7.94614501815e-14,0.00956150010987,1.2492087583e-05,0.149741411146,3.48105106492e-15,0.0409742599821,2.98431516826e-06,0.00250864088818,2.98498523987e-06,0.000237383658141,8.93540449037e-07,1.56412074251e-06,0.0032330723765,3.17578871284e-08,0.00258851900106
m,10,1,10,200,1,50,1000,0.00223146671123,0.0597311973953,0.00276963563581,0.0251533632088,0.0621962784969,0.00670793596049,0.0208686193615,0.000887468243423,0.0687186203522,0.00432823964293,0.0221798913901,0.00135772853913,0.0136507704207,0.00236228046578,0.00281860877615,0.00128316263433,0.00268300827475,0.0271284560987,0.00150030667491,0.00630671773815,0.00891664799454,0.0597311973953,0.00802804615032,0.0483093622311,0.131898348732,0.0177239777235,0.0545751948087,0.0078205203647,0.108637117733,0.00915504506516,0.0535841286411,0.00301818690291,0.0432190372827,0.00499000516932,0.0142163022296,0.00276614810327,0.00619769599237,0.0523765439926,0.00145905029602,0.0285136871712
m,10,1,10,200,5,50,1000,0.000833989234144,0.00798954401778,1.19348406447e-07,0.000150575546286,0.0135354844737,5.45294179599e-07,0.000321999796476,8.6223236585e-06,0.0212357383249,1.28458789427e-05,0.0114731102787,8.60728339439e-07,0.00271987194068,0.000408326278593,1.69822129436e-05,3.42357741271e-06,5.68236852054e-05,0.000156236031015,1.66732622777e-06,0.000202573320771,0.000434674998326,0.00798954401778,3.42011666296e-07,0.00267427770631,0.39803712924,1.69181771698e-05,0.00673417427828,3.96615597311e-05,0.266374750076,8.39431681849e-07,0.112978522214,0.000113207553568,0.0376204319969,0.00633299591547,0.0202028782321,2.01609350148e-05,0.00175110751801,0.0115014737462,1.41100182896e-06,0.0680461597719
m,10,1,10,200,10,50,1000,0.000682312834336,0.000158058602178,2.32428813374e-07,1.58629689342e-06,0.0246700571215,2.42065249191e-07,0.000178179470842,1.04986987033e-05,0.00751715093469,0.000217304330086,0.00448889446425,5.9060247041e-07,0.000676294958608,0.000396177459416,4.53446984871e-06,1.02224992293e-05,9.20909141397e-05,0.000343802788643,3.42804931848e-07,0.00498810064577,6.17959019048e-05,0.000158058602178,3.22133475871e-13,1.81161296627e-05,0.385280782432,7.63919677606e-10,0.00313106165101,1.1671541975e-05,0.29579600074,4.21861703558e-10,0.142773679935,4.3038811042e-05,0.0158545970992,0.00731433952653,0.0326590305167,8.19685840047e-05,0.00181435283353,0.00585283610624,2.45488175919e-07,0.0647117485245
m,10,1,10,200,15,50,1000,0.00052836325491,3.01308198135e-06,2.93685682248e-06,2.26039660585e-08,0.0236985220898,1.65447946346e-06,8.656324527e-05,8.75847317145e-06,0.0094322461902,7.30018164221e-05,0.00387895922925,4.20649361665e-07,0.000200575538312,0.000806876165146,1.5393085466e-05,6.20332173386e-06,9.08156507572e-05,4.5961158191e-05,1.03201167609e-06,0.00354504864715,5.43350783554e-05,3.01308198135e-06,6.65022927714e-15,1.96593848879e-07,0.363943858889,8.48406360336e-10,0.00212173179082,6.12338019636e-06,0.314514861162,4.41529118956e-08,0.179243205253,0.000102782294896,0.00673623411633,0.0144381137148,0.0202109304851,6.52967291474e-05,0.00122784665887,0.00369063225056,6.25286566746e-07,0.0512138006849
m,10,1,15,200,1,50,1000,0.00757699085445,0.0544239193954,0.00334673746275,0.0188332830394,0.0531118844578,0.00650240132333,0.0130630543269,0.000957731761067,0.0317147550836,0.0013183614825,0.0277822410984,0.000804242819162,0.0155632827749,0.00964129287333,0.0017138196467,0.00104782291353,0.004789584419,0.00808929924906,0.000773874668809,0.00596000439656,0.00654911525739,0.0544239193954,0.00710582129778,0.0426984875629,0.117093331744,0.0152813812074,0.0390378610797,0.00561577914828,0.106180421139,0.00413885489094,0.0812653037707,0.00386291947583,0.0635326439571,0.0243249092462,0.030314232067,0.00243811485464,0.0154824045584,0.0519176141182,0.00074341934691,0.0609788818355
m,10,1,15,200,5,50,1000,0.0209998084776,0.0075446022813,2.49532195078e-05,3.80757219322e-05,0.0179086881795,6.95698985603e-06,2.62489920547e-05,0.000519680668024,0.00604392854493,0.000253238635719,0.00193026136484,1.22184356854e-07,0.000442033656176,0.000304197608843,0.000689429300172,0.000149380098599,0.000303699750198,0.000231693135499,0.000177694961041,0.00215862154066,0.000410439913789,0.0075446022813,2.77307844036e-07,0.00210632039412,0.317193726949,1.15357084894e-05,0.00140315786128,2.72013864098e-05,0.228591584518,4.76351335388e-07,0.151946725277,7.8535278671e-05,0.0425921096408,0.0859025597766,0.0264027960394,0.000238597215518,0.00749280991735,0.00176972048007,0.000138338001135,0.0663951703906
m,10,1,15,200,10,50,1000,0.0159262912648,0.000207648949955,1.66161779535e-09,1.30940815677e-06,0.00115659182967,5.29766580904e-09,0.00016081577351,0.00024844029186,0.00789623566896,0.00146137769616,0.00276268381268,8.99283373617e-08,0.000407310616464,0.000177899451213,7.09313197891e-05,1.66160368336e-05,5.8689228623e-05,0.000168693863783,3.09345784032e-05,0.0147355151265,0.000956773580442,0.000207648949955,3.35466912701e-13,2.03404271514e-05,0.368252189891,5.80376485188e-10,0.00175241324102,1.60747606938e-05,0.221336364213,2.4736795811e-07,0.172237524853,2.735653795e-05,0.0132935682627,0.0642521031216,0.0483202144987,7.84858833872e-05,0.011653879433,0.00277985085592,1.87471266422e-05,0.0493081346107
