stype,l1,proportion
literal,0,0.0268157696653
literal,1,1.67348577293e-32
literal,2,0.0262594699704
literal,3,8.99951105242e-13
literal,4,0.0899117951256
literal,5,1.30985399919e-11
gricean,0,0.0197191447226
gricean,1,2.11908452573e-32
gricean,2,0.0272099550299
gricean,3,1.07416854127e-07
gricean,4,0.810083653024
gricean,5,1.05031204945e-07
