stype,l1,proportion
literal,0,0.0238633409237
literal,1,0.00715900227711
literal,2,0.0238633409237
literal,3,0.0574239574752
literal,4,0.0303462790805
literal,5,0.0382920723884
gricean,0,0.0238633409237
gricean,1,0.00715900227711
gricean,2,0.0238633409237
gricean,3,0.215960128809
gricean,4,0.332246178181
gricean,5,0.215960015817
