stype,l1,proportion
literal,0,0.0165468164562
literal,1,3.81318859035e-32
literal,2,0.00591878540167
literal,3,7.08499855495e-11
literal,4,0.0348242580228
literal,5,8.86275726911e-11
gricean,0,0.0194002766216
gricean,1,1.31029823178e-32
gricean,2,0.0135040941188
gricean,3,4.53135403064e-08
gricean,4,0.909805655427
gricean,5,6.84786096597e-08
