stype,l1,proportion
literal,0,0.0105900597653
literal,1,2.45035901831e-09
literal,2,0.0207439664203
literal,3,4.03772991959e-06
literal,4,0.0900341108043
literal,5,0.00999256589878
gricean,0,0.0130180378697
gricean,1,1.6375479994e-09
gricean,2,0.00484174398091
gricean,3,0.00348177149781
gricean,4,0.843603933177
gricean,5,0.00368976876799
