stype,l1,proportion
literal,0,0.011419203686
literal,1,0.0102772833174
literal,2,0.011419203686
literal,3,0.029350205723
literal,4,0.0165076672567
literal,5,0.0154963543603
gricean,0,0.011419203686
gricean,1,0.0102772833174
gricean,2,0.011419203686
gricean,3,0.285791762982
gricean,4,0.300832117076
gricean,5,0.285790511222
