stype,l1,proportion
literal,0,0.00396508965807
literal,1,3.91874152613e-19
literal,2,0.00560964403623
literal,3,7.28588216422e-11
literal,4,0.0210204340506
literal,5,7.84320961534e-11
gricean,0,0.0116825393506
gricean,1,1.14006039107e-18
gricean,2,0.0065668816285
gricean,3,8.31045508256e-06
gricean,4,0.951140428427
gricean,5,6.67224305044e-06
