stype,l1,l2,l3,proportion
literal,4,0,2,5.2350770119e-30
literal,4,0,3,5.6468645831e-24
literal,4,0,4,2.26946220927e-27
literal,4,0,5,1.91268392623e-27
literal,4,1,0,2.22600308605e-30
literal,4,1,1,8.92817028168e-32
literal,4,1,2,2.71503876152e-30
literal,4,1,3,1.11040127414e-23
literal,4,1,4,5.89392953287e-28
literal,4,1,5,2.36687485811e-27
literal,4,2,0,4.53772164908e-30
literal,4,2,1,2.91329902342e-30
literal,4,2,2,3.80006633056e-30
literal,4,2,3,7.90044034291e-24
literal,4,2,4,1.7831989608e-27
literal,4,2,5,3.27172237837e-28
literal,4,3,0,3.72727973078e-23
literal,4,3,1,1.49331134121e-24
literal,4,3,2,1.49652935816e-23
literal,4,3,3,1.25948912217e-19
literal,4,3,4,2.61795972397e-22
literal,4,3,5,1.34454164965e-22
literal,4,4,0,5.03764929953e-27
literal,4,4,1,1.62630197562e-27
literal,4,4,2,1.03387632433e-26
literal,4,4,3,3.84091345867e-23
literal,4,4,4,7.52928691235e-26
literal,4,4,5,2.01356295987e-26
literal,4,5,0,1.7232096404e-26
literal,4,5,1,1.74469019432e-27
literal,4,5,2,1.9396849809e-27
literal,4,5,3,3.03565512453e-23
literal,4,5,4,2.71769273272e-25
literal,4,5,5,6.18041080394e-26
literal,5,0,0,2.9290282493e-30
literal,5,0,1,2.4546880632e-31
literal,5,0,2,2.00026722761e-30
literal,5,0,3,7.008708928e-24
literal,5,0,4,5.01328623756e-28
literal,5,0,5,6.1906540326e-27
literal,5,1,0,6.18400236672e-31
literal,5,1,1,7.11179109411e-31
literal,5,1,2,2.03882894004e-30
literal,5,1,3,2.47959965512e-24
literal,5,1,4,1.25018090807e-28
literal,5,1,5,1.66332040149e-28
literal,5,2,0,9.99182696232e-31
literal,5,2,1,1.18105121135e-30
literal,5,2,2,5.45996125859e-30
literal,5,2,3,6.76246745171e-24
literal,5,2,4,9.61203148074e-28
literal,5,2,5,1.79949731645e-27
literal,5,3,0,1.2545698547e-23
literal,5,3,1,1.11590363118e-23
literal,5,3,2,2.54455567873e-23
literal,5,3,3,1.86974075896e-19
literal,5,3,4,3.05010364761e-22
literal,5,3,5,3.79847447373e-22
literal,5,4,0,6.04022450577e-28
literal,5,4,1,4.24024557278e-27
literal,5,4,2,1.57207735097e-27
literal,5,4,3,2.64618904651e-22
literal,5,4,4,1.48109592527e-25
literal,5,4,5,1.65939543487e-26
literal,5,5,0,2.26811383898e-27
literal,5,5,1,7.32818003538e-27
literal,5,5,2,1.2756598098e-26
literal,5,5,3,1.3414014418e-22
literal,5,5,4,4.2868546631e-25
literal,5,5,5,6.47359045947e-26
gricean,0,0,0,9.00847203003e-34
gricean,0,0,1,1.57125484671e-34
gricean,0,0,2,2.24987399075e-33
gricean,0,0,3,3.00073085579e-16
gricean,0,0,4,2.82000601359e-16
gricean,0,0,5,6.84654153365e-17
gricean,0,1,0,1.02789771547e-33
gricean,0,1,1,2.88057787249e-34
gricean,0,1,2,3.02512956414e-34
gricean,0,1,3,1.15172444678e-16
gricean,0,1,4,2.94766009748e-16
gricean,0,1,5,5.72230088207e-17
gricean,0,2,0,1.93844530294e-33
gricean,0,2,1,2.16708817004e-34
gricean,0,2,2,2.83300705326e-33
gricean,0,2,3,4.66024885855e-16
gricean,0,2,4,1.55837271069e-15
gricean,0,2,5,1.04643117233e-16
gricean,0,3,0,1.71818820756e-15
gricean,0,3,1,1.24226742957e-16
gricean,0,3,2,6.23791679822e-17
gricean,0,3,3,0.000826689379016
gricean,0,3,4,0.00460466602879
gricean,0,3,5,0.00364135510217
gricean,0,4,0,8.01615412908e-16
gricean,0,4,1,3.84073971748e-16
gricean,0,4,2,2.68209063967e-15
gricean,0,4,3,0.0026731607903
gricean,0,4,4,0.00355829965335
gricean,0,4,5,0.00214781040879
gricean,0,5,0,9.61595733288e-17
gricean,0,5,1,1.41718076624e-16
gricean,0,5,2,1.36193351672e-16
gricean,0,5,3,0.00187763373831
gricean,0,5,4,0.00286539064112
gricean,0,5,5,0.00216526138039
gricean,1,0,0,9.56016508083e-34
gricean,1,0,1,2.61326215181e-34
gricean,1,0,2,9.49678663694e-34
gricean,1,0,3,3.21800343811e-17
gricean,1,0,4,1.08797616026e-16
gricean,1,0,5,7.14260138907e-17
gricean,1,1,0,4.8617865216e-34
gricean,1,1,1,4.31798046661e-35
gricean,1,1,2,3.02931401373e-34
gricean,1,1,3,1.59586642856e-17
gricean,1,1,4,6.48038298016e-17
gricean,1,1,5,1.99507758411e-17
gricean,1,2,0,9.66250597462e-34
gricean,1,2,1,1.31525101988e-34
gricean,1,2,2,2.53539164292e-33
gricean,1,2,3,6.47358482055e-17
gricean,1,2,4,8.087961082e-17
gricean,1,2,5,2.5163413999e-16
gricean,1,3,0,1.41120088134e-17
gricean,1,3,1,7.26863665699e-17
gricean,1,3,2,4.34152750038e-17
gricean,1,3,3,0.000225486625642
gricean,1,3,4,0.00114864840365
gricean,1,3,5,0.000413299010929
gricean,1,4,0,4.56567556679e-16
gricean,1,4,1,5.72251316535e-17
gricean,1,4,2,1.08014678217e-15
gricean,1,4,3,0.00140081538638
gricean,1,4,4,0.00102979273632
gricean,1,4,5,0.00109629679784
gricean,1,5,0,3.94853947483e-17
gricean,1,5,1,2.79939829547e-17
gricean,1,5,2,1.44335549824e-17
gricean,1,5,3,0.000279103461231
gricean,1,5,4,0.0018446201887
gricean,1,5,5,0.00082532284572
gricean,2,0,0,1.98864138936e-33
gricean,2,0,1,2.17666258322e-33
gricean,2,0,2,4.11670742138e-33
gricean,2,0,3,2.39002990066e-16
gricean,2,0,4,1.47524328321e-15
gricean,2,0,5,1.39739088254e-16
gricean,2,1,0,2.85727817581e-33
gricean,2,1,1,1.83310903533e-34
gricean,2,1,2,1.30669668833e-33
gricean,2,1,3,9.95782003651e-17
gricean,2,1,4,1.68010395759e-16
gricean,2,1,5,4.2013712912e-17
gricean,2,2,0,5.50251609828e-33
gricean,2,2,1,2.59591855714e-33
gricean,2,2,2,2.10478843563e-33
gricean,2,2,3,3.85299131585e-16
gricean,2,2,4,9.68904119024e-16
gricean,2,2,5,5.74843839091e-17
gricean,2,3,0,1.09809734122e-15
gricean,2,3,1,2.97150729958e-16
gricean,2,3,2,3.63657673345e-16
gricean,2,3,3,0.00254240884186
gricean,2,3,4,0.00202823112158
gricean,2,3,5,0.00138569057745
gricean,2,4,0,1.59710075084e-15
gricean,2,4,1,7.30126666506e-17
gricean,2,4,2,1.05146197739e-15
gricean,2,4,3,0.00412637699325
gricean,2,4,4,0.00786302573525
gricean,2,4,5,0.00204140466035
gricean,2,5,0,2.2954313845e-16
gricean,2,5,1,1.02905353013e-16
gricean,2,5,2,1.23924506146e-15
gricean,2,5,3,0.00181077071877
gricean,2,5,4,0.00311366662038
gricean,2,5,5,0.00247042732531
gricean,3,0,0,3.35439379008e-16
gricean,3,0,1,1.86023012807e-17
gricean,3,0,2,1.20799298021e-16
gricean,3,0,3,0.00412739914651
gricean,3,0,4,0.00435378473439
gricean,3,0,5,0.00359831629237
gricean,3,1,0,8.8179574942e-18
gricean,3,1,1,3.38954554085e-18
gricean,3,1,2,5.96298898234e-17
gricean,3,1,3,0.00116327790237
gricean,3,1,4,0.00157016322852
gricean,3,1,5,0.00105834831709
gricean,3,2,0,1.77753983198e-16
gricean,3,2,1,7.18728944302e-18
gricean,3,2,2,3.77574894628e-17
gricean,3,2,3,0.00347925462741
gricean,3,2,4,0.00297116498084
gricean,3,2,5,0.00340937392521
gricean,3,3,0,0.00228088823455
gricean,3,3,1,0.00103543807487
gricean,3,3,2,0.00181720325098
gricean,3,3,3,0.0167592764407
gricean,3,3,4,0.025610557075
gricean,3,3,5,0.0147491403106
gricean,3,4,0,0.00354179304785
gricean,3,4,1,0.00186932802394
gricean,3,4,2,0.00696422553341
gricean,3,4,3,0.0228707363226
gricean,3,4,4,0.0443811338367
gricean,3,4,5,0.0270090607839
gricean,3,5,0,0.00374104966379
gricean,3,5,1,0.00124918980819
gricean,3,5,2,0.00365987116902
gricean,3,5,3,0.0153655090789
gricean,3,5,4,0.0271192969608
gricean,3,5,5,0.0129287253476
gricean,4,0,0,1.01529274079e-16
gricean,4,0,1,6.17175624585e-17
gricean,4,0,2,3.14990874493e-17
gricean,4,0,3,0.00417934898325
gricean,4,0,4,0.00893315414518
gricean,4,0,5,0.00362379530241
gricean,4,1,0,2.49288761205e-17
gricean,4,1,1,7.13606243166e-17
gricean,4,1,2,4.8051917913e-18
gricean,4,1,3,0.00221664239117
gricean,4,1,4,0.00135172551487
gricean,4,1,5,0.00184698877961
gricean,4,2,0,2.26041524475e-16
gricean,4,2,1,1.50040196914e-17
gricean,4,2,2,5.01576401909e-16
gricean,4,2,3,0.00624206179225
gricean,4,2,4,0.0079948097349
gricean,4,2,5,0.00507551259371
gricean,4,3,0,0.00682101536957
gricean,4,3,1,0.00127152148171
gricean,4,3,2,0.0077669946206
gricean,4,3,3,0.0254773763827
gricean,4,3,4,0.0402196385403
gricean,4,3,5,0.0254698303339
gricean,4,4,0,0.0051792750588
gricean,4,4,1,0.00365149387679
gricean,4,4,2,0.00912439661043
gricean,4,4,3,0.0452164660977
gricean,4,4,4,0.0665928313592
gricean,4,4,5,0.0353840437715
gricean,4,5,0,0.00547823771118
gricean,4,5,1,0.00178980862126
gricean,4,5,2,0.00230305428426
gricean,4,5,3,0.0278120885512
gricean,4,5,4,0.0382947479639
gricean,4,5,5,0.0336524716832
gricean,5,0,0,2.67077973811e-16
gricean,5,0,1,7.3891605028e-17
gricean,5,0,2,1.6971156216e-16
gricean,5,0,3,0.00326908298646
gricean,5,0,4,0.00792005374247
gricean,5,0,5,0.00273657896374
gricean,5,1,0,1.23634187084e-17
gricean,5,1,1,2.6389646948e-17
gricean,5,1,2,5.48317714918e-17
gricean,5,1,3,0.00142476404396
gricean,5,1,4,0.00158160051993
gricean,5,1,5,0.000531881056886
gricean,5,2,0,1.37076475574e-16
gricean,5,2,1,3.9616447008e-17
gricean,5,2,2,1.37293588016e-16
gricean,5,2,3,0.00241172317691
gricean,5,2,4,0.0043655339895
gricean,5,2,5,0.00389900495752
gricean,5,3,0,0.00413019442222
gricean,5,3,1,0.00115318102004
gricean,5,3,2,0.00254949009441
gricean,5,3,3,0.0136059655263
gricean,5,3,4,0.0231030569284
gricean,5,3,5,0.011845575308
gricean,5,4,0,0.00579274080701
gricean,5,4,1,0.0022849888824
gricean,5,4,2,0.00578795131059
gricean,5,4,3,0.0223157788677
gricean,5,4,4,0.0502655550426
gricean,5,4,5,0.0206600082564
gricean,5,5,0,0.00249141246177
gricean,5,5,1,0.00135135630246
gricean,5,5,2,0.00319188693111
gricean,5,5,3,0.0152692729142
gricean,5,5,4,0.0322728382358
gricean,5,5,5,0.0121300304045
