alpha,k,sample_amount,learning_parameter,epsilon,delta,t1_final,t2_final,t3_final,t4_final,t5_final,t6_final,t7_final,t8_final,t9_final,t10_final,t11_final,t12_final
0.1,1,1,1,0.1,0.1,0.0869224285389,0.0869224285389,0.0869224285389,0.0812504404996,0.0857046477643,0.0824682212741,0.0869224285389,0.0869224285389,0.0869224285389,0.0746485107092,0.0786508560375,0.0757427524822
0.1,1,1,1,0.1,0.3,0.0878690868855,0.0878690868855,0.0878690868855,0.080701057501,0.0850634847584,0.083506659628,0.0878690868855,0.0878690868855,0.0878690868855,0.0723578052932,0.0762776813781,0.0748787901286
0.1,1,1,1,0.1,0.5,0.0898484497319,0.0898484497319,0.0898484497319,0.0795523555435,0.0866113775796,0.0827894276958,0.0898484497319,0.0898484497319,0.0898484497319,0.0675681816565,0.0739110935005,0.0704768656326
0.1,1,1,1,0.1,0.8,0.0907650357964,0.0907650357964,0.0907650357964,0.0790204246707,0.0885199301947,0.0812655302724,0.0907650357964,0.0907650357964,0.0907650357964,0.0653502445627,0.0738860623313,0.0673675931899
0.1,1,1,1,0.3,0.1,0.0886029594578,0.0886029594578,0.0886029594578,0.0802751624399,0.0820643042782,0.0868138176196,0.0886029594578,0.0886029594578,0.0886029594578,0.0705819947462,0.0721896352823,0.0764573288868
0.1,1,1,1,0.3,0.3,0.0900829541403,0.0900829541403,0.0900829541403,0.0794162634301,0.0845241326782,0.0849750848922,0.0900829541403,0.0900829541403,0.0900829541403,0.0670007324599,0.07159042842,0.0719956332781
0.1,1,1,1,0.3,0.5,0.0914746050785,0.0914746050785,0.0914746050785,0.0786086337629,0.0872383844486,0.0828448543929,0.0914746050785,0.0914746050785,0.0914746050785,0.0636332426437,0.0713875388626,0.067439715418
0.1,1,1,1,0.3,0.8,0.0918462527776,0.0918462527776,0.0918462527776,0.0783929520145,0.087994886444,0.0822443183482,0.0918462527776,0.0918462527776,0.0918462527776,0.0627339367852,0.0713617924864,0.066194597256
0.1,1,1,1,0.5,0.1,0.0892294443994,0.0892294443994,0.0892294443994,0.0799115886363,0.0833111176251,0.0858299154106,0.0892294443994,0.0892294443994,0.0892294443994,0.0690660386952,0.0721206988662,0.0743839743699
0.1,1,1,1,0.5,0.3,0.0906637032416,0.0906637032416,0.0906637032416,0.0790792319299,0.0835601543965,0.086182780775,0.0906637032416,0.0906637032416,0.0906637032416,0.0655954471035,0.0696217976285,0.0719783687165
0.1,1,1,1,0.5,0.5,0.0917603225463,0.0917603225463,0.0917603225463,0.0784428207008,0.0847654896096,0.0854376536375,0.0917603225463,0.0917603225463,0.0917603225463,0.0629418690842,0.0686231280501,0.0692271036402
0.1,1,1,1,0.5,0.8,0.090462677203,0.090462677203,0.090462677203,0.0791958952312,0.0864619335383,0.0831966388959,0.090462677203,0.090462677203,0.090462677203,0.0660818859937,0.072610813134,0.0696767699888
0.1,1,1,1,0.8,0.1,0.0914082819655,0.0914082819655,0.0914082819655,0.0786471236688,0.0820753982562,0.0879800073781,0.0914082819655,0.0914082819655,0.0914082819655,0.06379373002,0.0668742197464,0.0721798291374
0.1,1,1,1,0.8,0.3,0.0914844283335,0.0914844283335,0.0914844283335,0.0786029329425,0.0824510631515,0.0876362981244,0.0914844283335,0.0914844283335,0.0914844283335,0.0636094725229,0.0670672251471,0.0717264381108
0.1,1,1,1,0.8,0.5,0.0909560063358,0.0909560063358,0.0909560063358,0.0789095969703,0.0843846562175,0.0854809470887,0.0909560063358,0.0909560063358,0.0909560063358,0.0648881377735,0.0698077737638,0.0707928501713
0.1,1,1,1,0.8,0.8,0.0881049116124,0.0881049116124,0.0881049116124,0.0805641991549,0.0859262616954,0.0827428490719,0.0881049116124,0.0881049116124,0.0881049116124,0.0717871612153,0.0766052634641,0.0737447957241
0.1,1,1,3,0.1,0.1,0.0670051513653,0.0670051513653,0.0670051513653,0.0684889348153,0.0677910374571,0.0677030487236,0.0670051513653,0.0670051513653,0.0670051513653,0.156391050035,0.11834253509,0.119252485687
0.1,1,1,3,0.1,0.3,0.0742368829381,0.0742368829381,0.0742368829381,0.0634796055912,0.0724065410079,0.0653099475214,0.0742368829381,0.0742368829381,0.0742368829381,0.139866956529,0.108745092347,0.104770559375
0.1,1,1,3,0.1,0.5,0.0751304622446,0.0751304622446,0.0751304622446,0.0628606344791,0.0737046189814,0.0642864777423,0.0751304622446,0.0751304622446,0.0751304622446,0.137825178863,0.110544722424,0.0999955940427
0.1,1,1,3,0.1,0.8,0.0827139926414,0.0827139926414,0.0827139926414,0.0576076186479,0.0805511768318,0.0597704344575,0.0827139926414,0.0827139926414,0.0827139926414,0.120497245142,0.0994835237576,0.0858060453145
0.1,1,1,3,0.3,0.1,0.0737072804154,0.0737072804154,0.0737072804154,0.0638464545772,0.0659557667587,0.0715979682338,0.0737072804154,0.0737072804154,0.0737072804154,0.141077068038,0.104613946676,0.110665113224
0.1,1,1,3,0.3,0.3,0.0792930474623,0.0792930474623,0.0792930474623,0.0599772642144,0.0684529403523,0.0708173713245,0.0792930474623,0.0792930474623,0.0792930474623,0.128313909443,0.0969309618182,0.0997492680738
