t11_initial,alpha,k,sample_amount,learning_parameter,epsilon,delta,t11_final
0.0837165879496,0.1,1,1,1,0.1,0.1,0.0786508560375
0.0830358694288,0.1,1,1,1,0.1,0.3,0.0762776813781
0.0846739111031,0.1,1,1,1,0.1,0.5,0.0739110935005
0.0819188818384,0.1,1,1,1,0.1,0.8,0.0738860623313
0.0828393520206,0.1,1,1,1,0.3,0.1,0.0721896352823
0.0837049746035,0.1,1,1,1,0.3,0.3,0.07159042842
0.0835003898463,0.1,1,1,1,0.3,0.5,0.0713875388626
0.0834892512648,0.1,1,1,1,0.3,0.8,0.0713617924864
0.0841116492928,0.1,1,1,1,0.5,0.1,0.0721206988662
0.082633701224,0.1,1,1,1,0.5,0.3,0.0696217976285
0.0835114815932,0.1,1,1,1,0.5,0.5,0.0686231280501
0.082328375102,0.1,1,1,1,0.5,0.8,0.072610813134
0.084187570092,0.1,1,1,1,0.8,0.1,0.0668742197464
0.0826895626033,0.1,1,1,1,0.8,0.3,0.0670672251471
0.083969746039,0.1,1,1,1,0.8,0.5,0.0698077737638
0.0836318775115,0.1,1,1,1,0.8,0.8,0.0766052634641
0.0823320441806,0.1,1,1,3,0.1,0.1,0.11834253509
0.0810923292877,0.1,1,1,3,0.1,0.3,0.108745092347
0.0841714639715,0.1,1,1,3,0.1,0.5,0.110544722424
0.0831417119971,0.1,1,1,3,0.1,0.8,0.0994835237576
0.0839252382377,0.1,1,1,3,0.3,0.1,0.104613946676
0.0838331893914,0.1,1,1,3,0.3,0.3,0.0969309618182
0.0843795418866,0.1,1,1,3,0.3,0.5,0.0923332302635
0.0827586700016,0.1,1,1,3,0.3,0.8,0.101990971272
0.0835222467054,0.1,1,1,3,0.5,0.1,0.0967442674197
0.0823854186081,0.1,1,1,3,0.5,0.3,0.0952722881961
0.0849392925645,0.1,1,1,3,0.5,0.5,0.0960700439199
0.0833639800621,0.1,1,1,3,0.5,0.8,0.103624051633
0.0847440047557,0.1,1,1,3,0.8,0.1,0.0910440812828
0.0846418840535,0.1,1,1,3,0.8,0.3,0.0863601907874
0.0840409897065,0.1,1,1,3,0.8,0.5,0.0902690488509
0.0836683504145,0.1,1,1,3,0.8,0.8,0.0985209955966
0.0840331509332,0.1,1,1,5,0.1,0.1,0.168936505636
0.0838054620297,0.1,1,1,5,0.1,0.3,0.137776098064
0.0826530259592,0.1,1,1,5,0.1,0.5,0.135600182939
0.084093935446,0.1,1,1,5,0.1,0.8,0.125777267599
0.0831424419338,0.1,1,1,5,0.3,0.1,0.1373365739
0.083438208998,0.1,1,1,5,0.3,0.3,0.131778977784
0.08306307587,0.1,1,1,5,0.3,0.5,0.121235587391
0.0833826466663,0.1,1,1,5,0.3,0.8,0.12956105665
0.08366377395,0.1,1,1,5,0.5,0.1,0.112690137998
0.0844591499634,0.1,1,1,5,0.5,0.3,0.103683595306
0.0834838605857,0.1,1,1,5,0.5,0.5,0.119654160063
0.0831463359836,0.1,1,1,5,0.5,0.8,0.128862197915
0.0835949732214,0.1,1,1,5,0.8,0.1,0.09825487867
0.0824933963772,0.1,1,1,5,0.8,0.3,0.100404403816
0.0825035079793,0.1,1,1,5,0.8,0.5,0.113861952527
0.081656027811,0.1,1,1,5,0.8,0.8,0.124014503767
0.0815688845855,0.1,1,1,10,0.1,0.1,0.18284421132
0.0840730073705,0.1,1,1,10,0.1,0.3,0.191375429545
0.0835064116124,0.1,1,1,10,0.1,0.5,0.192370756553
0.0828418457461,0.1,1,1,10,0.1,0.8,0.180878912262
0.0817253868675,0.1,1,1,10,0.3,0.1,0.148482856033
0.0832583686354,0.1,1,1,10,0.3,0.3,0.153730273492
0.0835013577871,0.1,1,1,10,0.3,0.5,0.164167084489
0.0835746354492,0.1,1,1,10,0.3,0.8,0.146382148226
0.0821395776663,0.1,1,1,10,0.5,0.1,0.135556880846
0.0816912034257,0.1,1,1,10,0.5,0.3,0.120015869297
0.0840286223951,0.1,1,1,10,0.5,0.5,0.143262997069
0.0837784702078,0.1,1,1,10,0.5,0.8,0.165355226173
0.083303697552,0.1,1,1,10,0.8,0.1,0.104315234353
0.083150091857,0.1,1,1,10,0.8,0.3,0.104374895008
0.0819173524235,0.1,1,1,10,0.8,0.5,0.120163982272
0.0845330670149,0.1,1,1,10,0.8,0.8,0.155670773582
0.0830203850064,0.1,1,1,15,0.1,0.1,0.212038726487
0.082870537216,0.1,1,1,15,0.1,0.3,0.203248197924
0.0823643721565,0.1,1,1,15,0.1,0.5,0.180306424769
0.0822474358175,0.1,1,1,15,0.1,0.8,0.207799595164
0.0848954405535,0.1,1,1,15,0.3,0.1,0.169818187138
0.0834451125507,0.1,1,1,15,0.3,0.3,0.137162501554
0.083095313971,0.1,1,1,15,0.3,0.5,0.156178613629
0.0814310052405,0.1,1,1,15,0.3,0.8,0.18396968763
0.0838198016328,0.1,1,1,15,0.5,0.1,0.123638706675
0.0844620880686,0.1,1,1,15,0.5,0.3,0.119942702404
0.0846143124931,0.1,1,1,15,0.5,0.5,0.140193906916
0.0829329689601,0.1,1,1,15,0.5,0.8,0.149669865824
0.0832547838913,0.1,1,1,15,0.8,0.1,0.0875407637798
0.0834448699632,0.1,1,1,15,0.8,0.3,0.100116244917
0.0856399806059,0.1,1,1,15,0.8,0.5,0.120118668809
0.0848167800492,0.1,1,1,15,0.8,0.8,0.145292468731
0.0819189974118,0.1,1,5,1,0.1,0.1,0.0843841455813
0.0837530182294,0.1,1,5,1,0.1,0.3,0.0792915190585
0.0838994877775,0.1,1,5,1,0.1,0.5,0.0779372450856
0.0816466884784,0.1,1,5,1,0.1,0.8,0.073151736356
0.0824429473455,0.1,1,5,1,0.3,0.1,0.0776503777554
0.0839659762063,0.1,1,5,1,0.3,0.3,0.0725873498744
0.0844296463812,0.1,1,5,1,0.3,0.5,0.0724311013164
0.083201900655,0.1,1,5,1,0.3,0.8,0.0731882190282
0.0826797238109,0.1,1,5,1,0.5,0.1,0.0707725654906
0.0831505600102,0.1,1,5,1,0.5,0.3,0.0690882810751
0.0830264822425,0.1,1,5,1,0.5,0.5,0.0694944273248
0.0816399439075,0.1,1,5,1,0.5,0.8,0.0746531242522
0.0845909598333,0.1,1,5,1,0.8,0.1,0.0659797284634
0.0835347547944,0.1,1,5,1,0.8,0.3,0.0669934680039
0.0820531420126,0.1,1,5,1,0.8,0.5,0.0696875528055
0.0838751610729,0.1,1,5,1,0.8,0.8,0.0772316657235
0.0838483094578,0.1,1,5,3,0.1,0.1,0.134160758308
0.083074297068,0.1,1,5,3,0.1,0.3,0.118632436525
0.0834333065063,0.1,1,5,3,0.1,0.5,0.110853834753
0.0828108266602,0.1,1,5,3,0.1,0.8,0.104156274687
0.0831505932814,0.1,1,5,3,0.3,0.1,0.112999468941
0.0843374820333,0.1,1,5,3,0.3,0.3,0.102169923816
0.0857113150132,0.1,1,5,3,0.3,0.5,0.100372864382
0.0828568276091,0.1,1,5,3,0.3,0.8,0.103055590914
0.0815190319465,0.1,1,5,3,0.5,0.1,0.0951199960684
0.0822561877932,0.1,1,5,3,0.5,0.3,0.0910164178103
0.0833388561144,0.1,1,5,3,0.5,0.5,0.093835943871
0.0834897347729,0.1,1,5,3,0.5,0.8,0.102914805212
0.082533382276,0.1,1,5,3,0.8,0.1,0.082931737653
0.0833920229693,0.1,1,5,3,0.8,0.3,0.0860817922984
0.0837703221026,0.1,1,5,3,0.8,0.5,0.0929614615713
0.0849842722438,0.1,1,5,3,0.8,0.8,0.111184388511
0.0836327955028,0.1,1,5,5,0.1,0.1,0.185241420732
0.0834128508719,0.1,1,5,5,0.1,0.3,0.158275445042
0.0841713455026,0.1,1,5,5,0.1,0.5,0.148560627429
0.0843548711974,0.1,1,5,5,0.1,0.8,0.135507006033
0.0850417409779,0.1,1,5,5,0.3,0.1,0.139228232351
0.0833639831741,0.1,1,5,5,0.3,0.3,0.12899745285
0.0842099539904,0.1,1,5,5,0.3,0.5,0.129687343584
0.0839094786821,0.1,1,5,5,0.3,0.8,0.133930228965
0.0850925766882,0.1,1,5,5,0.5,0.1,0.111814299324
0.0839232880306,0.1,1,5,5,0.5,0.3,0.106795176404
0.0857025811422,0.1,1,5,5,0.5,0.5,0.1144257186
0.0835380966799,0.1,1,5,5,0.5,0.8,0.131146369407
0.0841428879918,0.1,1,5,5,0.8,0.1,0.0861258857626
0.0833996112037,0.1,1,5,5,0.8,0.3,0.0946510911153
0.0830341627586,0.1,1,5,5,0.8,0.5,0.112593148797
0.0838329847497,0.1,1,5,5,0.8,0.8,0.141347551165
0.0834950885421,0.1,1,5,10,0.1,0.1,0.217602703733
0.0834512416265,0.1,1,5,10,0.1,0.3,0.199412602189
0.0830467706166,0.1,1,5,10,0.1,0.5,0.192224790469
0.0830658591335,0.1,1,5,10,0.1,0.8,0.180038951765
0.0850821272391,0.1,1,5,10,0.3,0.1,0.162046320843
0.0825696267009,0.1,1,5,10,0.3,0.3,0.140795287474
0.0836987313599,0.1,1,5,10,0.3,0.5,0.158408724355
0.0826163530682,0.1,1,5,10,0.3,0.8,0.172478819137
0.0837160576718,0.1,1,5,10,0.5,0.1,0.110636604461
0.0839000996919,0.1,1,5,10,0.5,0.3,0.112145357141
0.0822775048607,0.1,1,5,10,0.5,0.5,0.127744204765
0.0827738639738,0.1,1,5,10,0.5,0.8,0.161916353431
0.0852525696362,0.1,1,5,10,0.8,0.1,0.0770699780343
0.0850101750563,0.1,1,5,10,0.8,0.3,0.0872486285202
0.0826589573881,0.1,1,5,10,0.8,0.5,0.116661289009
0.084485012303,0.1,1,5,10,0.8,0.8,0.163529867215
0.0831586190976,0.1,1,5,15,0.1,0.1,0.217362718609
0.0837615974064,0.1,1,5,15,0.1,0.3,0.205616763353
0.0839965873124,0.1,1,5,15,0.1,0.5,0.194570228943
0.0821737035956,0.1,1,5,15,0.1,0.8,0.196321589519
0.0835702635143,0.1,1,5,15,0.3,0.1,0.15609420335
0.0817411723498,0.1,1,5,15,0.3,0.3,0.144342234152
0.0846855070146,0.1,1,5,15,0.3,0.5,0.152397659529
0.0851013124973,0.1,1,5,15,0.3,0.8,0.181660871214
0.0816243656808,0.1,1,5,15,0.5,0.1,0.102352267439
0.0841085223448,0.1,1,5,15,0.5,0.3,0.110656321408
0.0832055118616,0.1,1,5,15,0.5,0.5,0.121052008935
0.0835574573195,0.1,1,5,15,0.5,0.8,0.167955092106
0.0837104807635,0.1,1,5,15,0.8,0.1,0.0668217009288
0.0848412128138,0.1,1,5,15,0.8,0.3,0.0812274619888
0.0829423895619,0.1,1,5,15,0.8,0.5,0.104652491182
0.0816083364471,0.1,1,5,15,0.8,0.8,0.159423117839
0.0854916228515,0.1,1,10,1,0.1,0.1,0.0850204360428
0.0830464840315,0.1,1,10,1,0.1,0.3,0.0801446791446
0.0835398582452,0.1,1,10,1,0.1,0.5,0.0775023275477
0.085021233012,0.1,1,10,1,0.1,0.8,0.0751357837301
