run_ID,t1_initial,t2_initial,t3_initial,t4_initial,t5_initial,t6_initial,t7_initial,t8_initial,t9_initial,t10_initial,t11_initial,t12_initial,alpha,prior_cost_c,lambda,k,sample_amount,learning_parameter,generations,t1_final,t2_final,t3_final,t4_final,t5_final,t6_final,t7_final,t8_final,t9_final,t10_final,t11_final,t12_final
0,0.0852119990552,0.0665470743904,0.0783282773837,0.260647455858,0.102848989881,0.047949101683,0.0797372685465,0.00237723368617,0.137866742891,2.74046913048e-06,0.128857833371,0.00962528278522,1,0.4,1,10,10,3,20,0.0357734127471,0.00772705715337,0.0357734127471,0.182319168688,0.278308195505,0.0765707774704,0.0357734127471,0.00772705715337,0.0357734127471,0.182319168688,0.0806447912392,0.0412901331145
1,0.0385775941977,0.00927857618999,0.0985752540552,0.261824818086,0.0548693088318,0.14188798974,0.192325256987,0.00486194610595,0.0104348954017,0.126422325168,0.0549354933808,0.00600654185605,1,0.4,1,10,10,3,20,0.0266808340352,0.0057630601516,0.0266808340352,0.267351678225,0.0894360518234,0.13400913047,0.0266808340352,0.0057630601516,0.0266808340352,0.267351678225,0.081747357681,0.0418546471327
2,0.0400133323839,0.0345107063141,0.0834101020014,0.00569524186175,0.0741159231939,0.0633468266427,0.0535218199834,0.0899728310909,0.0757321227778,0.249544480962,0.0139492891105,0.216187323678,1,0.4,1,10,10,3,20,0.0181684275388,0.00392438034839,0.0181684275388,0.27683217006,0.155951206529,0.130612102811,0.0181684275388,0.00392438034839,0.0181684275388,0.27683217006,0.0524139415929,0.0268359380956
3,0.0154652876237,0.0555274802932,0.0677874569608,0.118985805928,0.121335111137,0.0197833184669,0.113811619798,0.1165521585,0.227691232859,0.0357596407189,0.0321580698679,0.075142817847,1,0.4,1,10,10,3,20,0.0413556334625,0.0089328168279,0.0413556334625,0.207527962467,0.204813451427,0.0865885347313,0.0413556334625,0.0089328168279,0.0413556334625,0.207527962467,0.0729192601859,0.0373346612152
4,0.00577830557735,0.0729911090616,0.0491541764132,0.337817659728,0.0775265151622,0.0756747175697,0.136543201647,0.0171671010505,0.0876916617724,0.0640227034733,0.0210671257203,0.0545657228241,1,0.4,1,10,10,3,20,0.0308046810618,0.00665381110934,0.0308046810618,0.268752662951,0.144861180119,0.0588771815858,0.0308046810618,0.00665381110934,0.0308046810618,0.268752662951,0.0808399245549,0.0413900413721
5,0.022303042366,0.090853188553,0.0198604791025,0.014343704939,0.0204047240095,0.195852037816,0.0489653652436,0.178611776584,0.136342010192,0.0348024802895,0.20367281728,0.033988373625,1,0.4,1,10,10,3,20,0.0379975091875,0.0082074619845,0.0379975091875,0.219964993011,0.146504318227,0.146143632813,0.0379975091875,0.0082074619845,0.0379975091875,0.219964993011,0.0654875014678,0.0335296007515
6,0.0785015820783,0.0741881527444,0.0833566119203,0.0641652772402,0.00129275446962,0.042152895646,0.193642588053,0.105717574619,0.0208064777802,0.188808686403,0.0452223437034,0.102145055342,1,0.4,1,10,10,3,20,0.0395895347815,0.00855133951281,0.0395895347815,0.216260267667,0.214234119659,0.0876011841515,0.0395895347815,0.00855133951281,0.0395895347815,0.216260267667,0.0596450679264,0.0305382747783
7,0.275213145049,0.0372665907319,0.00688371891264,0.326168884643,0.0146812420434,0.0151207186132,0.0724853610876,0.0609533780527,0.0119253611492,0.083112366769,0.00306814362644,0.0931210893216,1,0.4,1,10,10,3,20,0.0268787108112,0.00580580153522,0.0268787108112,0.29916547022,0.0836224933214,0.0888083827586,0.0268787108112,0.00580580153522,0.0268787108112,0.29916547022,0.0728252229929,0.0372865141724
8,0.130758095024,0.0303417413916,0.0605125381159,0.23932766874,0.0652523517621,0.0808106651833,0.166223320022,0.0778421559404,0.0232001702447,0.00479376344616,0.0525497238599,0.0683878062698,1,0.4,1,10,10,3,20,0.0210995959872,0.00455751273323,0.0210995959872,0.345955734196,0.102431303197,0.0384348543191,0.0210995959872,0.00455751273323,0.0210995959872,0.345955734196,0.0487493152628,0.0249596494146
9,0.107746535373,0.0299476118482,0.0535095193543,0.145825936888,0.155043274423,0.0267078423721,0.0594132039101,0.00621079069089,0.117014312533,0.055357377986,0.171455959241,0.0717676353809,1,0.4,1,10,10,3,20,0.0182819495812,0.00394890110953,0.0182819495812,0.299600226486,0.15496418108,0.0677173146365,0.0182819495812,0.00394890110953,0.0182819495812,0.299600226486,0.0642145838407,0.0328778669264
10,0.231971699075,0.0617414677492,0.0343740717302,0.311535004454,0.0416588915635,0.0552932456877,0.0618369204798,0.0743507941666,0.0421965735213,0.00528026598674,0.0607138427493,0.0190472228365,1,0.4,1,10,10,3,20,0.0406152583362,0.00877289580063,0.0406152583362,0.250029242517,0.160235362498,0.0541719624485,0.0406152583362,0.00877289580063,0.0406152583362,0.250029242517,0.0697932308695,0.0357341342052
11,0.00321419198651,0.00164696041772,0.057934267458,0.0406507926239,0.0624529202861,0.263463948951,0.00617233494931,0.0863151717764,0.161270634105,0.100952280113,0.185303770868,0.0306227264646,1,0.4,1,10,10,3,20,0.0350596103942,0.00757287584515,0.0350596103942,0.150509905512,0.345304097072,0.0737581711084,0.0350596103942,0.00757287584515,0.0350596103942,0.150509905512,0.0823635764083,0.042170151121
12,0.0283090532129,0.0383222276321,0.102199068222,0.127129393399,0.0187838871715,0.016111432794,0.319285473458,0.175133314006,0.132077110922,0.00933168326062,0.0209114437881,0.0124059121336,1,0.4,1,10,10,3,20,0.0315143595946,0.00680710167243,0.0315143595946,0.242806502463,0.153191502655,0.114679475128,0.0315143595946,0.00680710167243,0.0315143595946,0.242806502463,0.0706642695549,0.0361801060121
13,0.00704677046868,0.023604214351,0.014314654692,0.0174020965805,0.108957009779,0.256268094114,0.0271655346472,0.131171447291,0.126777368692,0.162940702683,0.0583639840729,0.0659881226283,1,0.4,1,10,10,3,20,0.0254441856096,0.00549594409167,0.0254441856096,0.245297626774,0.243396051457,0.0556462137415,0.0254441856096,0.00549594409167,0.0254441856096,0.245297626774,0.064546197508,0.0330476531241
14,0.13679183345,0.264690511625,0.103299939249,0.0773892786953,0.037847706807,0.0182107874338,0.00304195686945,0.0469056768208,0.0891937273814,0.136191323872,0.0520570852287,0.0343801725684,1,0.4,1,10,10,3,20,0.0280970825856,0.00606896983849,0.0280970825856,0.218075895747,0.228265033112,0.082884138229,0.0280970825856,0.00606896983849,0.0280970825856,0.218075895747,0.0847703486408,0.0434024185041
15,0.0851755119219,0.000112073239315,0.159344062486,0.0239576944535,0.0748374614897,0.094606262841,0.061590928903,0.00265623798496,0.119534531339,0.0298143437211,0.346325385277,0.00204550634353,1,0.4,1,10,10,3,20,0.0444548631519,0.00960225044082,0.0444548631519,0.237333992842,0.0947054017999,0.102758842094,0.0444548631519,0.00960225044082,0.0444548631519,0.237333992842,0.0865369159613,0.0443069009722
16,0.00217226633115,0.0211878178365,0.0309548919326,0.00359393744995,0.203593001265,0.0351790727405,0.00253279110349,0.10594931104,0.123068706414,0.268528308739,0.0429801418848,0.160259753263,1,0.4,1,10,10,3,20,0.0337003204162,0.0072792692099,0.0337003204162,0.245821677748,0.100265732211,0.163540206445,0.0337003204162,0.0072792692099,0.0337003204162,0.245821677748,0.0629569350288,0.0322339507348
17,0.175681649017,0.0221515075446,0.0694354370132,0.00425585061008,0.0757837955652,0.0624441324666,0.0881786237723,0.135020410205,0.115299528555,0.0304407150118,0.194684265715,0.0266240845248,1,0.4,1,10,10,3,20,0.0161197105393,0.00348185747648,0.0161197105393,0.306929098645,0.15373011262,0.0826914462075,0.0161197105393,0.00348185747648,0.0161197105393,0.306929098645,0.0517709568602,0.0265067299124
18,0.0300028545925,0.168578541796,0.210136014039,0.12353493396,0.0859637495116,0.0597580928491,0.0532772510968,0.00604395332184,0.16017407761,0.0643031853098,0.0250212583827,0.0132060875318,1,0.4,1,10,10,3,20,0.0415472432218,0.0089742045359,0.0415472432218,0.185906916317,0.179132093504,0.129802585071,0.0415472432218,0.0089742045359,0.0415472432218,0.185906916317,0.0893611817671,0.0457529250648
19,0.13039161088,0.0349016272226,0.0123532157174,0.00130763188996,0.0583794356272,0.102176772759,0.140353551539,0.173711955933,0.000471732782903,0.0212895222718,0.0279143911383,0.296748552238,1,0.4,1,10,10,3,20,0.0137072983741,0.0029607764488,0.0137072983741,0.342796190836,0.124894482729,0.0558563526598,0.0137072983741,0.0029607764488,0.0137072983741,0.342796190836,0.0482182781386,0.024687758407
20,0.0492293122699,0.10732525987,0.0134145509076,0.176095783583,0.104869318213,0.213835569057,0.127259002878,0.0261207040339,0.0932132385828,0.0138895231402,0.0687762459345,0.00597149153005,1,0.4,1,10,10,3,20,0.0329592021929,0.00711918767368,0.0329592021929,0.230209884765,0.0849440701754,0.151004294463,0.0329592021929,0.00711918767368,0.0329592021929,0.230209884765,0.104204154571,0.0533525271406
21,0.15051198211,0.281503541423,0.0156315416068,0.0560880373708,0.00385562499909,0.0873802338484,0.0452701636086,0.000416464718987,0.0317303793007,0.0716980080032,0.118601937558,0.137312085452,1,0.4,1,10,10,3,20,0.0280525833255,0.00605935799831,0.0280525833255,0.273118072109,0.187670975611,0.0353119812965,0.0280525833255,0.00605935799831,0.0280525833255,0.273118072109,0.0704046624174,0.0360471871577
22,0.0248022403918,0.0312639501705,0.15923003179,0.0325158382877,0.0432122531261,0.0415033010574,0.216277363465,0.258311391755,0.0678126095645,0.00317443459151,0.11933353485,0.00256305095103,1,0.4,1,10,10,3,20,0.0536832661839,0.0115955854957,0.0536832661839,0.158033699888,0.262452989057,0.0958746005197,0.0536832661839,0.0115955854957,0.0536832661839,0.158033699888,0.0579899305022,0.0296908444171
23,0.228373509157,0.0439512344876,0.0513559636146,0.0252337270556,0.00222351550482,0.0872825383025,0.119871321731,0.107528970638,0.149404214106,0.0604468364382,0.109442088015,0.01488608095,1,0.4,1,10,10,3,20,0.0492287335485,0.0106334064465,0.0492287335485,0.196949684248,0.192352108518,0.106551743302,0.0492287335485,0.0106334064465,0.0492287335485,0.196949684248,0.0588723760573,0.0301426565413
24,0.0172362274623,0.119719007386,0.0104762501509,0.0114877659497,0.255028032991,0.0374327420681,0.0508137849598,0.0846107501381,0.0402846583312,0.050259585545,0.17195155914,0.150699635877,1,0.4,1,10,10,3,20,0.0339353548614,0.00733003665006,0.0339353548614,0.249818317792,0.152428683999,0.0720683247221,0.0339353548614,0.00733003665006,0.0339353548614,0.249818317792,0.0829794067126,0.0424854562369
25,0.0558394773245,0.0509755311255,0.0495049586969,0.161202026,0.052189836241,0.0398826066748,0.261720043954,0.0435689149564,0.129237463476,0.0508951680617,0.0889742759779,0.0160096975122,1,0.4,1,10,10,3,20,0.0149732248619,0.00323421657017,0.0149732248619,0.331680832978,0.0901987935448,0.0980406396729,0.0149732248619,0.00323421657017,0.0149732248619,0.331680832978,0.0542576509509,0.0277799172869
26,0.117995947319,0.0217749940995,0.022593551138,0.00704322862239,0.0411612772885,0.00159475176055,0.0847024251812,0.0301914287349,0.0954408739765,0.042441711875,0.369275808921,0.165784001083,1,0.4,1,10,10,3,20,0.0328435735394,0.00709421188452,0.0328435735394,0.291337631507,0.128142137132,0.0483333921977,0.0328435735394,0.00709421188452,0.0328435735394,0.291337631507,0.0630201651649,0.0322663245644
27,0.0106021658292,0.0844166993436,0.208263308988,0.0572774605254,0.130758485918,0.0201670767644,0.215500745197,0.0576003970412,0.0245203170429,0.093614843871,0.0861371184797,0.0111413809995,1,0.4,1,10,10,3,20,0.0144402546432,0.00311909500293,0.0144402546432,0.366145086298,0.091116004296,0.0478908072112,0.0144402546432,0.00311909500293,0.0144402546432,0.366145086298,0.0427935233582,0.0219102839594
28,0.00637089395582,0.0715244214482,0.0236841301958,0.00811029563019,0.00487439197074,0.047500916224,0.065490164852,0.188910034289,0.0653538097615,0.261783447362,0.186099801754,0.0702976925578,1,0.4,1,10,10,3,20,0.0312617693885,0.00675254218791,0.0312617693885,0.226339878315,0.173425547064,0.117744602775,0.0312617693885,0.00675254218791,0.0312617693885,0.226339878315,0.0777764097887,0.0398215218118
29,0.0908840596629,0.0366415659749,0.00664702942814,0.00549607332661,0.0419080128348,0.211543527822,0.0434815231066,0.0172448823033,0.26706950619,0.0408807018831,0.0245372402016,0.213665877266,1,0.4,1,10,10,3,20,0.0366606957715,0.00791871028665,0.0366606957715,0.232003676506,0.216506124395,0.0463062667453,0.0366606957715,0.00791871028665,0.0366606957715,0.232003676506,0.0732143202296,0.0374857319576
30,0.245524798634,0.268699851361,0.042144798749,0.0383022694399,0.0207546387109,0.044371351426,0.0166857241941,0.00741411616232,0.13456034595,0.033317599058,0.00755288336206,0.140671622952,1,0.4,1,10,10,3,20,0.0196207229854,0.00423807616484,0.0196207229854,0.324833010673,0.102969717646,0.076230103079,0.0196207229854,0.00423807616484,0.0196207229854,0.324833010673,0.055671371467,0.0285037421911
31,0.217555262689,0.0793442900329,0.0439688689228,0.0101186274182,0.0699081869985,0.0355345622398,0.19770253479,0.0683922195554,0.074225618461,0.0267767159297,0.133832747962,0.0426403650009,1,0.4,1,10,10,3,20,0.0317157428133,0.00685060044768,0.0317157428133,0.219268322074,0.228312860298,0.0970302764583,0.0317157428133,0.00685060044768,0.0317157428133,0.219268322074,0.0631984437486,0.0323576031993
32,0.176880602082,0.0292751148738,0.0124072032409,0.0313975541587,0.176057980548,0.358161291089,0.0536096244744,0.0160583898013,0.00776289991186,0.0248482459723,0.0469494460465,0.0665916478014,1,0.4,1,10,10,3,20,0.0325897107309,0.00703937751787,0.0325897107309,0.242600659729,0.171975103554,0.100578946259,0.0325897107309,0.00703937751787,0.0325897107309,0.242600659729,0.0646871909856,0.0331198417846
33,0.0727593991719,0.0577109183717,0.0512766416487,0.0229340343465,0.0767215512496,0.168862415919,0.186744866013,0.047939943066,0.0677640638706,0.0953972161715,0.0105019936272,0.141386956543,1,0.4,1,10,10,3,20,0.0221757516483,0.00478996235604,0.0221757516483,0.296635990478,0.174276141074,0.0383474038258,0.0221757516483,0.00478996235604,0.0221757516483,0.296635990478,0.0633740362698,0.0324475065701
34,0.0761612272302,0.0917906793311,0.0573110580607,0.0908402510401,0.186299579888,0.0669252693168,0.121332390232,0.0158776873775,0.107514528426,0.0176637211949,0.150814503029,0.0174691048728,1,0.4,1,10,10,3,20,0.0453249178643,0.00979018225869,0.0453249178643,0.21708896543,0.151838029008,0.112363057603,0.0453249178643,0.00979018225869,0.0453249178643,0.21708896543,0.0666276101554,0.0341133363996
35,0.0183812899155,0.0038958516628,0.00819038155325,0.108773326822,0.0509251846344,0.0531548095849,0.00345984065773,0.207039178569,0.0446398737028,0.0608240999537,0.325907229586,0.114808933357,1,0.4,1,10,10,3,20,0.0164166279101,0.00354599162858,0.0164166279101,0.327449570611,0.128652843057,0.0589875882705,0.0164166279101,0.00354599162858,0.0164166279101,0.327449570611,0.0560197966621,0.028682135891
36,0.124489645499,0.0796890155318,0.0835626984983,0.175167149059,0.0218626177182,0.0148367673346,0.0249695015895,0.0732237543207,0.0238135537171,0.217160481845,0.160278985721,0.000945829166373,1,0.4,1,10,10,3,20,0.0259203147258,0.00559878798078,0.0259203147258,0.300719128656,0.129598192444,0.06537933605,0.0259203147258,0.00559878798078,0.0259203147258,0.300719128656,0.0586675789212,0.0300378004076
37,0.0735362507965,0.0667406168919,0.113091538614,0.0158593273744,0.0427903252592,0.0500380111271,0.149544316702,0.0342820537988,0.00963498832835,0.254960360028,0.162734521527,0.0267876895524,1,0.4,1,10,10,3,20,0.0454044337809,0.00980735769668,0.0454044337809,0.178802172228,0.236338718622,0.0912444361558,0.0454044337809,0.00980735769668,0.0454044337809,0.178802172228,0.0751190808522,0.0384609693963
38,0.0721018128105,0.0627485533642,0.0738852597557,0.0267727468664,0.20054764815,0.0465890524359,0.0508172127784,0.0729197713289,0.199940889656,0.0344473993508,0.0679747031123,0.0912549503908,1,0.4,1,10,10,3,20,0.0240570261235,0.00519631764267,0.0240570261235,0.298925005554,0.151129942221,0.0540330070835,0.0240570261235,0.00519631764267,0.0240570261235,0.298925005554,0.0597660713018,0.0306002285065
39,0.194376119719,0.173918855031,0.0484604485866,0.0162890123361,0.0111291450417,0.150221718573,0.0701170965019,0.113885260575,0.0171443064915,0.144881071919,0.0138326798436,0.0457442853817,1,0.4,1,10,10,3,20,0.0128074125182,0.00276640110393,0.0128074125182,0.357900927958,0.0858576007046,0.0567715810997,0.0128074125182,0.00276640110393,0.0128074125182,0.357900927958,0.0560889616396,0.0287175483595
40,0.140208147401,0.0397007278341,0.17570681082,0.0658325902083,0.0315867784123,0.0806850195119,0.0349701400795,0.0665817535214,0.142106222838,0.0908988688655,0.0833436619501,0.048379278557,1,0.4,1,10,10,3,20,0.0403184767132,0.00870879097004,0.0403184767132,0.199231010655,0.182365481118,0.127667244922,0.0403184767132,0.00870879097004,0.0403184767132,0.199231010655,0.0746122776834,0.0382014861739
41,0.0717206937008,0.310698542489,0.0703259781031,0.0012740138141,0.0350810069483,0.0581977901144,0.0925808250243,0.102303888802,0.0954941067286,0.0577376124299,0.0676624094443,0.0369231324013,1,0.4,1,10,10,3,20,0.0173736596099,0.00375271047575,0.0173736596099,0.323929228173,0.0915283672254,0.0817707328501,0.0173736596099,0.00375271047575,0.0173736596099,0.323929228173,0.0673560741978,0.0344863099893
42,0.0169154777649,0.137280360155,0.0312307770187,0.0536178462993,0.0193367185415,0.115629399653,0.0341233426497,0.0784721557082,0.00232780308387,0.260481429371,0.0608930631014,0.189691626653,1,0.4,1,10,10,3,20,0.0379873838269,0.00820527490661,0.0379873838269,0.18636420158,0.218523869434,0.144921224832,0.0379873838269,0.00820527490661,0.0379873838269,0.18636420158,0.0631391649828,0.0323272524712
43,0.147320736931,0.115219227613,0.0126416186289,0.0375558612454,0.00812731921327,0.0167796214189,0.11773627701,0.14844726257,0.00749812197942,0.157245768585,0.182888015638,0.0485401691675,1,0.4,1,10,10,3,20,0.0284936436326,0.00615462702465,0.0284936436326,0.263604874439,0.162821753488,0.0953352114535,0.0284936436326,0.00615462702465,0.0284936436326,0.263604874439,0.058432180953,0.0299172766479
44,0.173774967178,0.149845142228,0.0119537969262,0.00228695877392,0.000195422808212,0.283143123002,0.0148254080007,0.233841889154,0.0291478799176,0.0188508424213,0.0811924616435,0.000942107946078,1,0.4,1,10,10,3,20,0.0207019599462,0.00447162334837,0.0207019599462,0.274046062009,0.147537335762,0.104003275455,0.0207019599462,0.00447162334837,0.0207019599462,0.274046062009,0.0718360967482,0.0367800815351
45,0.0254659863231,0.163748500758,0.00890924645229,0.0750109090685,0.00645265135538,0.186097418851,0.0405640758252,0.121768183172,0.254875843405,0.00890726004524,0.0852899328168,0.022909991928,1,0.4,1,10,10,3,20,0.0415278223543,0.00897000962853,0.0415278223543,0.171028421575,0.19655420525,0.145572643244,0.0415278223543,0.00897000962853,0.0415278223543,0.171028421575,0.0871461638106,0.044618835871
46,0.00465304844302,0.037573663704,0.203644954466,0.0952002739317,0.056060316545,0.0208614722974,0.264848554306,0.0579223806796,0.0162665960074,0.119373564409,0.0709421795632,0.0526529956477,1,0.4,1,10,10,3,20,0.0310818105701,0.00671367108314,0.0310818105701,0.21647657399,0.189521380356,0.131525845475,0.0310818105701,0.00671367108314,0.0310818105701,0.21647657399,0.0715906360726,0.0366544056692
47,0.123620070337,0.0558164267306,0.0549984093706,0.0834238156074,0.0789247188457,0.0301026769766,0.0379054186975,0.152057161845,0.136946606012,0.00407022576427,0.174067915532,0.0680665542814,1,0.4,1,10,10,3,20,0.0599046525454,0.0129394049498,0.0599046525454,0.139721207402,0.234605181506,0.108701738312,0.0599046525454,0.0129394049498,0.0599046525454,0.139721207402,0.073910876519,0.0378423687778
