t1_initial,t2_initial,t3_initial,t4_initial,t5_initial,t6_initial,t7_initial,t8_initial,t9_initial,t10_initial,t11_initial,t12_initial,alpha,lambda,generations,runs,t1_final,t2_final,t3_final,t4_final,t5_final,t6_final,t7_final,t8_final,t9_final,t10_final,t11_final,t12_final
0.0830148491034,0.0837020578843,0.0840270907056,0.0828436207359,0.0824537869848,0.0833530152691,0.0833327897121,0.0848140452503,0.0830873070818,0.0833731645474,0.082705505494,0.0832927672312,1,0,20,10000,0.0830148491034,0.0837020578843,0.0840270907056,0.0828436207359,0.0824537869848,0.0833530152691,0.0833327897121,0.0848140452503,0.0830873070818,0.0833731645474,0.082705505494,0.0832927672312
0.0829839861321,0.0836591086432,0.0839665106234,0.0822998308047,0.0847166587486,0.0840850721911,0.082314516284,0.083089589665,0.0823412367118,0.0837828205356,0.0832484161143,0.0835122535462,1,1,20,10000,0.0213499289087,0.0216325907093,0.0214604101569,0.414571973952,0.0904023872328,0.0889010066562,0.0210827283017,0.0216173271396,0.0212470450719,0.160485989972,0.0587311944801,0.0585174174187
0.0842435214816,0.084594712555,0.0836348036188,0.0824747623002,0.0821453809279,0.0820972112727,0.0823952935842,0.0842014572038,0.0831979299214,0.0842891478094,0.0834338199356,0.0832919593893,1,2,20,10000,0.00300558199836,0.00284121346543,0.0027868862657,0.528952685886,0.036930176125,0.0370037729948,0.0027521387861,0.00304346909413,0.00289273129181,0.292230076917,0.0439678578198,0.0435934093553
0.0828652175971,0.0840408901015,0.0835049990699,0.0841545747518,0.083593579743,0.0830715602356,0.0827679056087,0.0831865063795,0.084648648273,0.0810964975739,0.08334904602,0.0837205746459,1,3,20,10000,0.00053131131074,0.000536048102889,0.000495751843734,0.485781770873,0.016316726871,0.0165178115334,0.000495211405142,0.00061496915327,0.000617573023024,0.36387632077,0.0567366918769,0.0574798132372
0.0822221068492,0.0829331786464,0.0852154136648,0.0828347869826,0.0831945362493,0.0838067870698,0.0839594298515,0.0836344470558,0.0824098120843,0.0823267154894,0.0836884805172,0.0837743055397,1,4,20,10000,0.000192269534122,0.000210540645095,0.000262465275933,0.423297695705,0.00913753813968,0.00925633013819,0.000219257889412,0.000187510917489,0.000205529231677,0.375340544647,0.0902680219954,0.0914222958816
0.0840981878439,0.0833322549731,0.0840275984723,0.0828337485975,0.0833007167033,0.0835905018922,0.0849913004122,0.0834648886376,0.0824854022467,0.0836774341665,0.0819795526526,0.0822184134021,1,5,20,10000,0.00013058944543,0.000139421423098,0.000126366012149,0.371057658213,0.00627728242227,0.00615746730251,0.000109421357874,0.000170763984499,0.000108562198046,0.355948621708,0.130218244264,0.129555601669
0.0843054551496,0.0830233607601,0.0828347418608,0.0834921929174,0.08261430843,0.0839773127565,0.0837729729629,0.0841466404777,0.0821398623269,0.0822389060562,0.0830920197731,0.0843622265287,1,6,20,10000,5.43510652275e-05,6.97761317693e-05,4.23910071039e-05,0.328893163596,0.00468079692186,0.00466236333198,5.53481143138e-05,6.39453173506e-05,4.02162706669e-05,0.320801543125,0.168485844522,0.172150260596
0.0849101500403,0.0836327684581,0.0830313222729,0.0821532886502,0.0840222154122,0.0828799912027,0.0837403653863,0.0822682690436,0.0821590021275,0.0829426151061,0.0847774512956,0.0834825610046,1,7,20,10000,6.63556532517e-05,4.49560811343e-05,7.89329034036e-05,0.296123782859,0.0038964246516,0.00377223268389,5.68834558389e-05,5.1128034271e-05,3.47958921638e-05,0.295745487545,0.200865746763,0.199263273478
0.0814714772444,0.0834720962907,0.0831427588233,0.082960714129,0.0826811830926,0.0834263301898,0.0839314139404,0.0837445854889,0.0830459808886,0.0842730841005,0.0842046414604,0.0836457343514,1,8,20,10000,4.88178304603e-05,6.59445953958e-05,4.86685796514e-05,0.277129914357,0.0034843606397,0.00361802006991,6.8335835774e-05,5.19640861025e-05,6.20244769282e-05,0.280637585553,0.218430740957,0.216353623018
0.0834525230251,0.0831285977862,0.0833074707806,0.0841364263064,0.0839767068154,0.0826521838968,0.0830462404415,0.0831854937228,0.083646204183,0.083303510944,0.083832462904,0.0823321791941,1,9,20,10000,6.4222534712e-05,5.0334135876e-05,5.58319237233e-05,0.269271916183,0.00330832614349,0.00318624759514,4.30867158498e-05,7.50929170702e-05,4.46365904816e-05,0.268383531112,0.229188002692,0.226328771457
